Mention,ConceptCode,ConceptName,SemanticType,Start
estimation,C53327,Statistical Estimation,Research Activity,1915
not,C25594,Negation,Functional Concept,1932
fulfill,C87531,Fulfill,Activity,1936
criteria,C25466,Criterion,Idea or Concept,1962
even,C64936,Evening,Temporal Concept,1971
discharges,C26416,Mouse Discharge,Tissue,1994
extended,C25270,Extend,Activity,2005
over,C65018,Over,Qualitative Concept,2014
cm,C49668,Centimeter,Quantitative Concept,2021
patients,C53691,Veterinary Patient,Organism,2029
Application,C70867,Application,Intellectual Product,2049
MEG,C16811,Magnetoencephalography,Diagnostic Procedure,2064
have,C101282,Have,Classification,2096
limitations,C121422,Limited Lifting Ability,Intellectual Product,2101
measurement,C25209,Measurement,Quantitative Concept,2120
back,C13062,Back,Body Location or Region,2150
previous,C25627,Previous,Temporal Concept,2164
studies,C15206,Clinical Study,Research Activity,2173
MEG,C16811,Magnetoencephalography,Diagnostic Procedure,2231
pick,C48912,Choose,Activity,2235
coil,C49877,Coil Device Component,Manufactured Object,2243
not,C25594,Negation,Functional Concept,2255
al,C111127,Aluminum Measurement,Laboratory Procedure,2287
al,C111127,Aluminum Measurement,Laboratory Procedure,2336
al,C111127,Aluminum Measurement,Laboratory Procedure,2360
al,C111127,Aluminum Measurement,Laboratory Procedure,2397
al,C111127,Aluminum Measurement,Laboratory Procedure,2446
al,C111127,Aluminum Measurement,Laboratory Procedure,2481
two,C66833,Two,Quantitative Concept,2512
gradient,C70693,Gradient,Phenomenon or Process,2521
coil,C49877,Coil Device Component,Manufactured Object,2530
cancel,C63471,Cancel,Activity,2547
environmental,C16551,Environment,Functional Concept,2554
noises,C45783,Noise,Phenomenon or Process,2577
detect,C117041,Dosing Days to Detection,Quantitative Concept,2596
signals,C17133,Signal Transduction,Molecular Function,2603
sources,C25683,Source,Qualitative Concept,2623
different,C46003,Difference,Qualitative Concept,2634
type,C25284,Type,Functional Concept,2644
MEG,C16811,Magnetoencephalography,Diagnostic Procedure,2652
pick,C48912,Choose,Activity,2656
coil,C49877,Coil Device Component,Manufactured Object,2664
magnetometer,C50053,Magnetometer Device Component,Manufactured Object,2672
comprises,C79873,Contain,Activity,2686
single,C48440,Single,Qualitative Concept,2698
coil,C49877,Coil Device Component,Manufactured Object,2710
detect,C117041,Dosing Days to Detection,Quantitative Concept,2734
signals,C17133,Signal Transduction,Molecular Function,2741
regions,C41129,Region,Spatial Concept,2769
magnetometer,C50053,Magnetometer Device Component,Manufactured Object,2782
theoretical,C84379,Theory,Classification,2802
sources,C25683,Source,Qualitative Concept,2845
rarely,C73116,Rarely,Qualitative Concept,2862
recent,C25280,Recent,Temporal Concept,2882
due,C45263,Due,Qualitative Concept,2896
susceptibility,C16505,Susceptibility,Qualitative Concept,2903
interference,C72886,Interference,Activity,2921
external,C44280,External,Spatial Concept,2939
noise,C45783,Noise,Phenomenon or Process,2957
al,C111127,Aluminum Measurement,Laboratory Procedure,3003
Recent,C25280,Recent,Temporal Concept,3028
advances,C25411,Advanced,Qualitative Concept,3035
technology,C17187,Technology,Occupation or Discipline,3047
quality,C25283,Quality,Conceptual Entity,3071
rooms,C69074,Room,Geographic Area,3104
coil,C49877,Coil Device Component,Manufactured Object,3118
have,C101282,Have,Classification,3131
magnetometers,C50053,Magnetometer Device Component,Manufactured Object,3144
clinical,C25398,Clinical,Qualitative Concept,3173
purposes,C25634,Purpose,Idea or Concept,3182
theoretical,C84379,Theory,Classification,3200
almost,C107222,Nearly,Qualitative Concept,3225
no,C49487,No,Classification,3232
reports,C41191,Reporter,Professional or Occupational Group,3235
have,C101282,Have,Classification,3243
discharges,C26416,Mouse Discharge,Tissue,3298
sources,C25683,Source,Qualitative Concept,3341
clinical study,C15206,Clinical Study,Research Activity,3354
most,C25258,Most,Qualitative Concept,3383
common,C43461,Common,Qualitative Concept,3388
intractable epilepsy,C9487,Intractable Epilepsy,Disease or Syndrome,3405
partial epilepsy,C122812,Partial Epilepsy,Disease or Syndrome,3417
Several,C107221,Several,Qualitative Concept,3435
non,C25594,Negation,Functional Concept,3443
invasive,C14159,Invasive,Qualitative Concept,3447
methods,C71460,Method,Conceptual Entity,3456
have,C101282,Have,Classification,3464
established,C71155,Established,Qualitative Concept,3474
work up,C85833,Work-up,Diagnostic Procedure,3502
al,C111127,Aluminum Measurement,Laboratory Procedure,3532
have,C101282,Have,Classification,3556
MEG,C16811,Magnetoencephalography,Diagnostic Procedure,3566
clinical evaluation,C124351,Clinical Evaluation,Activity,3574
many,C78728,Many,Qualitative Concept,3597
types,C25284,Type,Functional Concept,3602
epilepsy,C3020,Seizure Disorder,Disease or Syndrome,3611
have,C101282,Have,Classification,3624
not obtained,C67325,Not Obtained,Qualitative Concept,3629
favorable,C102560,Favorable,Qualitative Concept,3642
results,C20200,Outcome,Finding,3652
poor,C77959,Poor,Qualitative Concept,3694
sensitivity,C25201,Sensitivity,Quantitative Concept,3699
sources,C25683,Source,Qualitative Concept,3741
evaluate,C25214,Evaluation,Activity,3778
magnetometer,C50053,Magnetometer Device Component,Manufactured Object,3805
available,C25429,Availability,Conceptual Entity,3870
sensitive,C3114,Hypersensitivity,Disease or Syndrome,3910
sources,C25683,Source,Qualitative Concept,3931
mesial,C81170,Midline,Spatial Concept,3954
temporal,C73990,Temporal,Temporal Concept,3961
foci,C25511,Focus,Spatial Concept,3980
aim,C60761,Aim,Conceptual Entity,4042
two,C66833,Two,Quantitative Concept,4066
different,C46003,Difference,Qualitative Concept,4070
problems,C28020,Problem,Phenomenon or Process,4091
criteria,C25466,Criterion,Idea or Concept,4101
MEG,C16811,Magnetoencephalography,Diagnostic Procedure,4114
discharges,C26416,Mouse Discharge,Tissue,4131
variability,C85443,Variability,Conceptual Entity,4147
detection,C16210,Detection,Diagnostic Procedure,4162
EEG,C38054,Electroencephalography,Diagnostic Procedure,4178
MEG,C16811,Magnetoencephalography,Diagnostic Procedure,4182
reviewers,C45314,Reviewed,Conceptual Entity,4186
several criteria,C117962,Severity Criteria,Idea or Concept,4207
have,C101282,Have,Classification,4224
defined,C42777,Definition,Intellectual Product,4234
EEG,C38054,Electroencephalography,Diagnostic Procedure,4246
discharges,C26416,Mouse Discharge,Tissue,4263
can,C43180,Can,Manufactured Object,4298
applied,C113519,Apply,Activity,4305
MEG,C16811,Magnetoencephalography,Diagnostic Procedure,4316
uncertain,C47944,Uncertain,Qualitative Concept,4346
morphologies,C17943,Morphology,Biomedical Occupation or Discipline,4364
al,C111127,Aluminum Measurement,Laboratory Procedure,4403
al,C111127,Aluminum Measurement,Laboratory Procedure,4426
signal,C43382,Signal,Conceptual Entity,4454
between,C94545,Between,Qualitative Concept,4479
MEG,C16811,Magnetoencephalography,Diagnostic Procedure,4487
EEG,C38054,Electroencephalography,Diagnostic Procedure,4495
can,C43180,Can,Manufactured Object,4499
readers,C50132,Reader Device Component,Manufactured Object,4511
detect,C117041,Dosing Days to Detection,Quantitative Concept,4533
discharges,C26416,Mouse Discharge,Tissue,4553
reason,C25638,Reason,Idea or Concept,4594
able,C78209,Ability,Functional Concept,4602
criterion,C25466,Criterion,Idea or Concept,4607
MEG,C16811,Magnetoencephalography,Diagnostic Procedure,4621
discharge,C26416,Mouse Discharge,Tissue,4638
two,C66833,Two,Quantitative Concept,4664
step,C48176,Step,Temporal Concept,4669
procedure,C79751,Procedure,Activity,4674
criterion,C25466,Criterion,Idea or Concept,4714
MEG,C16811,Magnetoencephalography,Diagnostic Procedure,4728
epi,C473,Therapeutic Epinephrine,"Organic Chemical, Pharmacologic Substance",4732
discharge,C26416,Mouse Discharge,Tissue,4747
evaluation,C25214,Evaluation,Activity,4762
data set,C47824,Data Set,Idea or Concept,4787
test,C47891,Test,Activity,4815
issue,C43415,Issue,Manufactured Object,4835
reviewer,C54634,Reviewer,Population Group,4848
factor,C25506,Factor,Functional Concept,4857
detection,C16210,Detection,Diagnostic Procedure,4867
discharges,C26416,Mouse Discharge,Tissue,4893
discharges,C26416,Mouse Discharge,Tissue,4928
not,C25594,Negation,Functional Concept,4939
only,C65011,Only,Qualitative Concept,4943
depends,C45996,Dependency,Qualitative Concept,4948
upon,C65137,Upon,Qualitative Concept,4956
morphology,C17943,Morphology,Biomedical Occupation or Discipline,4971
signal noise ratio,C94983,Signal to Noise Ratio,Quantitative Concept,4986
upon,C65137,Upon,Qualitative Concept,5018
training,C17705,Training,Educational Activity,5027
experience,C54627,Experience,Organism Attribute,5040
reviewer,C54634,Reviewer,Population Group,5058
al,C111127,Aluminum Measurement,Laboratory Procedure,5081
Even,C64936,Evening,Temporal Concept,5093
same,C64637,Same,Qualitative Concept,5113
criteria,C25466,Criterion,Idea or Concept,5118
reviewer,C54634,Reviewer,Population Group,5132
factor,C25506,Factor,Functional Concept,5141
excluded,C82931,Exclusion,Activity,5171
neurologists,C17721,Neurologist,Biomedical Occupation or Discipline,5212
review,C42729,Review,Activity,5225
data,C25474,Data,Idea or Concept,5232
after,C49639,Status Post,Temporal Concept,5237
blinding,C49068,Blinded,Functional Concept,5243
sensor,C28220,Sensor,Medical Device,5255
type,C25284,Type,Functional Concept,5262
patient,C16960,Patient,Patient or Disabled Group,5271
information,C48191,Information,Conceptual Entity,5279
detected,C25481,Detected,Conceptual Entity,5320
each,C64933,Each,Qualitative Concept,5332
reviewer,C54634,Reviewer,Population Group,5337
based,C48055,Base,Qualitative Concept,5346
criterion,C25466,Criterion,Idea or Concept,5359
discharge,C26416,Mouse Discharge,Tissue,5385
detected,C25481,Detected,Conceptual Entity,5403
accepted,C62559,Accepted,Qualitative Concept,5434
al,C111127,Aluminum Measurement,Laboratory Procedure,5493
al,C111127,Aluminum Measurement,Laboratory Procedure,5520
present,C25626,Present,Qualitative Concept,5537
study,C63536,Study,Research Activity,5545
MEG,C16811,Magnetoencephalography,Diagnostic Procedure,5559
two,C66833,Two,Quantitative Concept,5576
types,C25284,Type,Functional Concept,5580
pick,C48912,Choose,Activity,5589
coils,C61301,Convolution,Spatial Concept,5598
detect,C117041,Dosing Days to Detection,Quantitative Concept,5607
discharges,C26416,Mouse Discharge,Tissue,5627
sensor,C28220,Sensor,Medical Device,5666
able,C78209,Ability,Functional Concept,5673
detect,C117041,Dosing Days to Detection,Quantitative Concept,5681
larger,C49508,Large,Qualitative Concept,5692
number,C25337,Number,Quantitative Concept,5699
source,C25683,Source,Qualitative Concept,5730
location,C25341,Location,Spatial Concept,5737
Simultaneous,C25456,Concurrent,Qualitative Concept,5747
EEG,C38054,Electroencephalography,Diagnostic Procedure,5773
adopted,C25290,Adopted,Qualitative Concept,5786
reference,C25641,Reference,Idea or Concept,5798
Methods,C71460,Method,Conceptual Entity,5810
Patients,C53691,Veterinary Patient,Organism,5821
Six,C66837,Six,Quantitative Concept,5831
patients,C53691,Veterinary Patient,Organism,5835
refractory,C38014,Refractory,Qualitative Concept,5869
epilepsy,C3020,Seizure Disorder,Disease or Syndrome,5880
mesial,C81170,Midline,Spatial Concept,5894
focus,C25511,Focus,Spatial Concept,5920
Cases,C99269,True Case Status,Qualitative Concept,5927
lateral,C25230,Lateral,Spatial Concept,5957
temporal lobe,C12353,Temporal Lobe,"Body Part, Organ, or Organ Component",5965
epilepsy,C3020,Seizure Disorder,Disease or Syndrome,5979
patients,C53691,Veterinary Patient,Organism,6023
treated,C25705,Treating,Occupational Activity,6032
Departments,C42671,Department,Conceptual Entity,6047
Neurosurgery,C105687,Neurosurgery,Biomedical Occupation or Discipline,6062
Neurology,C16908,Neurology,Biomedical Occupation or Discipline,6079
University,C48647,University,Organization,6098
Hospital,C16696,Hospital,Health Care Related Organization,6109
Japan,C16764,Japan,Geographic Area,6119
between,C94545,Between,Qualitative Concept,6126
July,C106186,July,Qualitative Concept,6134
May,C106184,May,Qualitative Concept,6148
Table,C48441,Table,Manufactured Object,6159
patients,C53691,Veterinary Patient,Organism,6176
men,C97517,ELL wt Allele,Gene or Genome,6188
mesial,C81170,Midline,Spatial Concept,6207
focus,C25511,Focus,Spatial Concept,6233
selected,C48912,Choose,Activity,6244
structural,C41186,Structure,Functional Concept,6264
abnormalities,C9440,Abnormality,Finding,6275
mesial,C81170,Midline,Spatial Concept,6296
temporal lobe,C12353,Temporal Lobe,"Body Part, Organ, or Organ Component",6303
magnetic resonance imaging,C16809,Magnetic Resonance Imaging,Diagnostic Procedure,6320
MRI,C16809,Magnetic Resonance Imaging,Diagnostic Procedure,6348
Fig,C71971,Fig,"Plant, Food",6354
frequent,C64649,Frequently,Qualitative Concept,6366
clear,C48621,Negative Surgical Margin,Finding,6375
EEG,C38054,Electroencephalography,Diagnostic Procedure,6381
his,C29597,Histidine,"Amino Acid, Peptide, or Protein",6427
Mean,C53319,Mean,Quantitative Concept,6438
age,C25150,Age,Organism Attribute,6443
patients,C53691,Veterinary Patient,Organism,6456
range,C38013,Range,Quantitative Concept,6481
14,C113428,Fourteen,Quantitative Concept,6488
patient,C16960,Patient,Patient or Disabled Group,6506
lateral,C25230,Lateral,Spatial Concept,6519
year,C29848,Year,Temporal Concept,6540
old,C65010,Old,Qualitative Concept,6545
woman,C14284,Woman,Population Group,6549
selected,C48912,Choose,Activity,6576
frequent,C64649,Frequently,Qualitative Concept,6613
EEG,C38054,Electroencephalography,Diagnostic Procedure,6622
MEG,C16811,Magnetoencephalography,Diagnostic Procedure,6630
All,C64916,All,Qualitative Concept,6642
patients,C53691,Veterinary Patient,Organism,6646
MRI,C16809,Magnetic Resonance Imaging,Diagnostic Procedure,6665
positron emission tomography,C17007,Positron Emission Tomography,Diagnostic Procedure,6684
emission,C17203,Single Photon Emission Computed Tomography,Diagnostic Procedure,6693
emission,C17203,Single Photon Emission Computed Tomography,Diagnostic Procedure,6693
tomography single photon emission computed tomography,C17203,Single Photon Emission Computed Tomography,Diagnostic Procedure,6702
tomography single photon emission computed tomography,C17203,Single Photon Emission Computed Tomography,Diagnostic Procedure,6702
PET,C17007,Positron Emission Tomography,Diagnostic Procedure,6714
single photon emission computed tomography,C17203,Single Photon Emission Computed Tomography,Diagnostic Procedure,6726
single photon emission computed tomography,C17203,Single Photon Emission Computed Tomography,Diagnostic Procedure,6726
SPECT,C17203,Single Photon Emission Computed Tomography,Diagnostic Procedure,6770
Continuous,C53279,Continue,Qualitative Concept,6778
video,C96985,Video,Intellectual Product,6789
EEG,C38054,Electroencephalography,Diagnostic Procedure,6795
monitor,C61256,Monitoring,Activity,6799
21,C107434,Twenty One,Quantitative Concept,6817
electrodes,C49936,Electrode Device Component,Manufactured Object,6820
19,C105801,Nineteen,Quantitative Concept,6832
electrodes,C49936,Electrode Device Component,Manufactured Object,6835
10,C69122,Ten,Quantitative Concept,6849
20,C105799,Twenty,Quantitative Concept,6852
system,C25700,System,Conceptual Entity,6855
added,C45330,Added,Qualitative Concept,6862
T1,C73122,CD5 wt Allele,Gene or Genome,6868
T2,C37301,ADP/ATP Translocase 2,"Amino Acid, Peptide, or Protein",6875
electrodes,C49936,Electrode Device Component,Manufactured Object,6878
10 10,C69122,Ten,Quantitative Concept,6892
system,C25700,System,Conceptual Entity,6898
performed,C38000,Performed,Qualitative Concept,6910
all,C64916,All,Qualitative Concept,6940
patients,C53691,Veterinary Patient,Organism,6944
Case,C49152,Case,Qualitative Concept,6960
time,C25207,Time,Temporal Concept,6975
MEG,C16811,Magnetoencephalography,Diagnostic Procedure,6983
measurements,C37894,Measurable,Idea or Concept,6987
only Case,C15362,Case Study,Research Activity,7001
history,C54625,History,Conceptual Entity,7019
previous,C25627,Previous,Temporal Concept,7030
epilepsy,C3020,Seizure Disorder,Disease or Syndrome,7039
surgery,C17173,Surgery,Biomedical Occupation or Discipline,7048
frequent,C64649,Frequently,Qualitative Concept,7068
complex,C47881,Complex,Qualitative Concept,7077
partial seizures,C50689,Partial Seizure,Finding,7085
right,C25228,Right,Spatial Concept,7108
hippocampus,C12444,Hippocampus,"Body Part, Organ, or Organ Component",7114
resected,C25654,Resected,Qualitative Concept,7143
basis,C25430,Basis,Qualitative Concept,7159
data,C25474,Data,Idea or Concept,7178
scalp,C89807,Scalp,Anatomical Structure,7190
EEG,C38054,Electroencephalography,Diagnostic Procedure,7196
EEG,C38054,Electroencephalography,Diagnostic Procedure,7207
bilateral,C13332,Bilateral,Spatial Concept,7216
depth,C25333,Depth,Spatial Concept,7226
EEG,C38054,Electroencephalography,Diagnostic Procedure,7232
SPECT,C17203,Single Photon Emission Computed Tomography,Diagnostic Procedure,7271
FDG PET,C103400,FDG-Positron Emission Tomography,Diagnostic Procedure,7299
patient,C16960,Patient,Patient or Disabled Group,7313
seizure,C2962,Seizure,Finding,7330
free,C63628,Empty,Qualitative Concept,7338
more than 1 year,C127046,Stayed Off Cigarettes More than One Year Since Diagnosis,Intellectual Product,7347
following,C53286,Next,Temporal Concept,7364
resection,C15232,Excision,Health Care Activity,7374
right,C25228,Right,Spatial Concept,7391
hippocampus,C12444,Hippocampus,"Body Part, Organ, or Organ Component",7397
EEG,C38054,Electroencephalography,Diagnostic Procedure,7410
frequent,C64649,Frequently,Qualitative Concept,7420
left,C25229,Left,Spatial Concept,7445
lobe,C13393,Lobe,"Body Part, Organ, or Organ Component",7461
observed,C25599,Observed,Conceptual Entity,7471
Five,C66836,Five,Quantitative Concept,7481
cases,C99269,True Case Status,Qualitative Concept,7486
epilepsy,C3020,Seizure Disorder,Disease or Syndrome,7528
surgery,C17173,Surgery,Biomedical Occupation or Discipline,7537
after,C49639,Status Post,Temporal Concept,7545
MEG,C16811,Magnetoencephalography,Diagnostic Procedure,7551
measurement,C25209,Measurement,Quantitative Concept,7555
seizure,C2962,Seizure,Finding,7579
free,C63628,Empty,Qualitative Concept,7587
class I,C77265,Canadian Cardiovascular Society Grading Scale Class I,Finding,7618
al,C111127,Aluminum Measurement,Laboratory Procedure,7638
Intraoperative,C84355,Intraoperative,Conceptual Entity,7650
Cases,C99269,True Case Status,Qualitative Concept,7704
procedure,C79751,Procedure,Activity,7730
both,C49636,Both,Qualitative Concept,7787
mesial,C81170,Midline,Spatial Concept,7796
lateral,C25230,Lateral,Spatial Concept,7807
cortices,C12443,Cerebral Cortex,"Body Part, Organ, or Organ Component",7824
cases,C99269,True Case Status,Qualitative Concept,7844
zones,C43428,Zone,Spatial Concept,7874
mesial,C81170,Midline,Spatial Concept,7900
temporal lobes,C12353,Temporal Lobe,"Body Part, Organ, or Organ Component",7907
Fig,C71971,Fig,"Plant, Food",7923
Data,C25474,Data,Idea or Concept,7933
acquisition,C43384,Acquisition,Activity,7938
All,C64916,All,Qualitative Concept,7951
measurements,C37894,Measurable,Idea or Concept,7955
performed,C38000,Performed,Qualitative Concept,7973
room,C69074,Room,Geographic Area,8014
shaped shaped square,C48350,Square Shape,Qualitative Concept,8034
whole,C25326,Whole,Qualitative Concept,8041
head,C12419,Head,Body Location or Region,8047
coverage,C68811,Cover,Activity,8052
MEG,C16811,Magnetoencephalography,Diagnostic Procedure,8061
system,C25700,System,Conceptual Entity,8065
102,C14568,102 Mouse,Mammal,8083
identical,C49034,Identical,Qualitative Concept,8087
units,C64778,Enzyme Unit,Quantitative Concept,8097
each,C64933,Each,Qualitative Concept,8104
housing,C49990,Housing Device Component,Manufactured Object,8109
two,C66833,Two,Quantitative Concept,8117
placed,C126366,Placement,Activity,8136
eight,C66839,Eight,Quantitative Concept,8160
one,C66832,One,Quantitative Concept,8190
magnetometer,C50053,Magnetometer Device Component,Manufactured Object,8194
channels,C44170,Channel,Conceptual Entity,8225
total,C25304,Total,Qualitative Concept,8237
Finland,C16584,Finland,Geographic Area,8283
sensor,C28220,Sensor,Medical Device,8305
detector,C41276,Detector,Manufactured Object,8312
28 28,C126888,Twenty Eight,Quantitative Concept,8332
28 28,C126888,Twenty Eight,Quantitative Concept,8332
mm mm,C28251,Millimeter,Quantitative Concept,8335
mm mm,C28251,Millimeter,Quantitative Concept,8335
mean,C53319,Mean,Quantitative Concept,8370
distance,C25167,Distance,Quantitative Concept,8375
between,C94545,Between,Qualitative Concept,8384
sensor,C28220,Sensor,Medical Device,8392
elements,C1940,Element,"Element, Ion, or Isotope",8399
EEG,C38054,Electroencephalography,Diagnostic Procedure,8421
during,C25490,During,Temporal Concept,8453
MEG,C16811,Magnetoencephalography,Diagnostic Procedure,8460
measurement,C25209,Measurement,Quantitative Concept,8464
Based,C48055,Base,Qualitative Concept,8477
International,C25541,International,Conceptual Entity,8490
10,C69122,Ten,Quantitative Concept,8504
20,C105799,Twenty,Quantitative Concept,8507
10,C69122,Ten,Quantitative Concept,8516
Systems,C40568,"System, LOINC Axis 4",Intellectual Product,8519
12,C113426,Twelve,Quantitative Concept,8530
bilateral,C13332,Bilateral,Spatial Concept,8533
temporal,C73990,Temporal,Temporal Concept,8550
EEG,C38054,Electroencephalography,Diagnostic Procedure,8559
electrodes,C49936,Electrode Device Component,Manufactured Object,8563
present,C25626,Present,Qualitative Concept,8595
during,C25490,During,Temporal Concept,8603
previous,C25627,Previous,Temporal Concept,8610
video,C96985,Video,Intellectual Product,8619
EEG,C38054,Electroencephalography,Diagnostic Procedure,8625
monitoring,C61256,Monitoring,Activity,8629
routine,C47893,Routine,Activity,8643
EEG,C38054,Electroencephalography,Diagnostic Procedure,8651
patients,C53691,Veterinary Patient,Organism,8671
mesial,C81170,Midline,Spatial Concept,8685
temporal,C73990,Temporal,Temporal Concept,8692
focus,C25511,Focus,Spatial Concept,8711
Cases,C99269,True Case Status,Qualitative Concept,8718
19,C105801,Nineteen,Quantitative Concept,8733
electrodes,C49936,Electrode Device Component,Manufactured Object,8736
lateral,C25230,Lateral,Spatial Concept,8755
aim,C60761,Aim,Conceptual Entity,8789
monitor,C61256,Monitoring,Activity,8800
discharges,C26416,Mouse Discharge,Tissue,8825
found,C25626,Present,Qualitative Concept,8836
previous,C25627,Previous,Temporal Concept,8845
video,C96985,Video,Intellectual Product,8854
EEG,C38054,Electroencephalography,Diagnostic Procedure,8860
routine,C47893,Routine,Activity,8878
All,C64916,All,Qualitative Concept,8891
EEG,C38054,Electroencephalography,Diagnostic Procedure,8895
recordings,C25198,Record,Intellectual Product,8899
ear,C12394,Ear,"Body Part, Organ, or Organ Component",8931
electrode,C49936,Electrode Device Component,Manufactured Object,8935
ipsilateral,C25308,Ipsilateral,Spatial Concept,8945
side,C80158,Side,Spatial Concept,8974
Obtained,C52349,Obtain,Activity,8980
EEGs,C38054,Electroencephalography,Diagnostic Procedure,8989
calculated,C54125,Calculation,Activity,9025
ear,C12394,Ear,"Body Part, Organ, or Organ Component",9043
reference,C25641,Reference,Idea or Concept,9047
analysis,C25391,Analysis,Activity,9066
during,C25490,During,Temporal Concept,9128
MEG,C16811,Magnetoencephalography,Diagnostic Procedure,9135
acquisition,C43384,Acquisition,Activity,9139
Contamination,C68768,Contamination,Conceptual Entity,9152
artifacts,C75603,Artifact,Conceptual Entity,9178
heart monitored,C98935,Cardiac Monitoring,Diagnostic Procedure,9207
electrocardiography,C38053,Electrocardiography,Diagnostic Procedure,9230
