Mention,ConceptCode,ConceptName,SemanticType,Start
entry,C43381,Entry,Intellectual Product,992
seats,C62122,Sitting,Spatial Concept,998
diploma,C71335,Diploma,Intellectual Product,1008
entry,C43381,Entry,Intellectual Product,1034
seats,C62122,Sitting,Spatial Concept,1040
14,C113428,Fourteen,Quantitative Concept,1050
post,C38008,Post,Temporal Concept,1053
basic,C48056,Base,Chemical Viewed Functionally,1058
seats,C62122,Sitting,Spatial Concept,1081
public,C49060,Public,Qualitative Concept,1099
private,C54104,Private,Qualitative Concept,1107
armed forces,C68638,Military,Population Group,1119
sectors,C48955,Sector,Geographic Area,1132
Fig,C71971,Fig,"Plant, Food",1141
pool,C68779,Pool,Activity,1163
nurse faculty,C20844,Nurse Educator,Biomedical Occupation or Discipline,1171
members,C25368,Member,Human,1185
can,C43180,Can,Manufactured Object,1197
limited,C121422,Limited Lifting Ability,Intellectual Product,1240
most,C25258,Most,Qualitative Concept,1253
have,C101282,Have,Classification,1268
not,C25594,Negation,Functional Concept,1273
prepared,C25625,Preparation,Activity,1297
teacher,C102873,Teacher,Occupation or Discipline,1324
nursing,C16926,Nursing,Biomedical Occupation or Discipline,1335
student,C75561,Student,Occupation or Discipline,1343
ratio,C44256,Ratio,Quantitative Concept,1351
Bangladesh,C16323,Bangladesh,Geographic Area,1360
compared,C49156,Comparison,Activity,1380
20,C105799,Twenty,Quantitative Concept,1400
accepted,C62559,Accepted,Qualitative Concept,1403
many,C78728,Many,Qualitative Concept,1415
other,C17649,Other,Qualitative Concept,1420
countries,C66786,CDISC SDTM Country Terminology,Intellectual Product,1426
terms,C114093,Term Birth,Finding,1455
qualifications,C115712,Laboratory Certification Document,Intellectual Product,1464
proportion,C49159,Proportion,Quantitative Concept,1484
nurses faculty,C20844,Nurse Educator,Biomedical Occupation or Discipline,1498
nurses master science master,C71374,Master of Science in Nursing,Intellectual Product,1498
nurses public health public health,C17040,Public Health Nursing,Biomedical Occupation or Discipline,1498
nurses Directorate,C20859,Nurse Administrator,Biomedical Occupation or Discipline,1498
nurses health health Family,C18790,Family Health Nursing,Biomedical Occupation or Discipline,1498
MSN,C71374,Master of Science in Nursing,Intellectual Product,1542
small,C25376,Small,Qualitative Concept,1561
most,C25258,Most,Qualitative Concept,1568
have,C101282,Have,Classification,1589
master,C39451,Master of Public Health,Intellectual Product,1596
Services,C15785,Clinical Service,Health Care Activity,1680
worse,C71686,Worse,Qualitative Concept,1767
nursing faculty,C20844,Nurse Educator,Biomedical Occupation or Discipline,1786
PhD,C30161,Phosducin,"Amino Acid, Peptide, or Protein",1809
degree,C25554,Level,Quantitative Concept,1813
Only,C65011,Only,Qualitative Concept,1821
one,C66832,One,Quantitative Concept,1826
five,C66836,Five,Quantitative Concept,1845
students,C75561,Student,Occupation or Discipline,1850
doctorate,C39392,Doctorate Degree,Intellectual Product,1871
programmes,C50123,Programmer Device Component,Manufactured Object,1881
funded government,C93390,Government Funding,Governmental or Regulatory Activity,1896
sector,C48955,Sector,Geographic Area,1921
six,C66837,Six,Quantitative Concept,1933
nurses Directorate,C20859,Nurse Administrator,Biomedical Occupation or Discipline,1937
nurses Health Family,C18790,Family Health Nursing,Biomedical Occupation or Discipline,1937
PhD,C30161,Phosducin,"Amino Acid, Peptide, or Protein",1949
degrees,C25554,Level,Quantitative Concept,1953
supported,C37902,Support,Conceptual Entity,1965
private,C54104,Private,Qualitative Concept,1982
sector,C48955,Sector,Geographic Area,1990
Services,C15785,Clinical Service,Health Care Activity,2021
addition,C64911,Add,Activity,2094
recent,C25280,Recent,Temporal Concept,2106
basic,C48056,Base,Chemical Viewed Functionally,2128
nursing education,C20844,Nurse Educator,Biomedical Occupation or Discipline,2149
Bangladesh,C16323,Bangladesh,Geographic Area,2170
al,C111127,Aluminum Measurement,Laboratory Procedure,2253
problems,C28020,Problem,Phenomenon or Process,2270
point,C70656,Point,Spatial Concept,2279
critical,C25467,Critical,Qualitative Concept,2292
need,C41204,Need,Conceptual Entity,2301
higher,C25227,High,Qualitative Concept,2310
education nursing,C20844,Nurse Educator,Biomedical Occupation or Discipline,2317
nursing faculty,C20844,Nurse Educator,Biomedical Occupation or Discipline,2330
better,C71685,Better,Qualitative Concept,2341
prepare,C25625,Preparation,Activity,2348
roles,C48835,Role,Conceptual Entity,2375
Bangladesh,C16323,Bangladesh,Geographic Area,2391
no,C49487,No,Classification,2406
PhD,C30161,Phosducin,"Amino Acid, Peptide, or Protein",2409
master science nursing nursing,C71374,Master of Science in Nursing,Intellectual Product,2416
pro,C29612,Proline,"Amino Acid, Peptide, or Protein",2434
nursing public health nursing,C17040,Public Health Nursing,Biomedical Occupation or Discipline,2450
programmes,C50123,Programmer Device Component,Manufactured Object,2494
select,C48912,Choose,Activity,2512
few,C64942,Few,Quantitative Concept,2519
study,C63536,Study,Research Activity,2523
degree,C25554,Level,Quantitative Concept,2555
provides,C80514,Provide,Activity,2599
students,C75561,Student,Occupation or Discipline,2626
healthcare,C15363,Healthcare,Health Care Activity,2650
systems,C40568,"System, LOINC Axis 4",Intellectual Product,2661
nursing,C16926,Nursing,Biomedical Occupation or Discipline,2673
other,C17649,Other,Qualitative Concept,2694
countries,C66786,CDISC SDTM Country Terminology,Intellectual Product,2700
leave,C53464,Departure,Activity,2730
students,C75561,Student,Occupation or Discipline,2753
often,C91247,Often,Intellectual Product,2762
experience,C54627,Experience,Organism Attribute,2768
cultural,C16478,Culture,Idea or Concept,2779
adjustment,C49157,Adjustment,Activity,2788
language,C16779,Language,Language,2800
barriers,C49838,Barrier Device Component,Manufactured Object,2809
major,C45368,Major,Qualitative Concept,2822
changes,C25572,Modification,Qualitative Concept,2828
living,C37987,Life,Conceptual Entity,2847
al,C111127,Aluminum Measurement,Laboratory Procedure,2865
recommended,C25197,Recommendation,Idea or Concept,2891
academic degree,C25354,Academic Degree,Intellectual Product,2912
degree master's degree,C70556,Master's Degree Completion,Organism Attribute,2921
nursing faculty,C20844,Nurse Educator,Biomedical Occupation or Discipline,2932
higher,C25227,High,Qualitative Concept,2958
dents,C63245,Dent in Medical Device Material,Event,2987
suggests,C48313,Suggestion,Conceptual Entity,3031
minimum,C25570,Minimum,Qualitative Concept,3049
credential,C73925,Credential,Intellectual Product,3066
teachers,C102873,Teacher,Occupation or Discipline,3081
BSN,C71350,Bachelor of Science in Nursing,Intellectual Product,3093
programmes,C50123,Programmer Device Component,Manufactured Object,3097
context,C63325,Context,Idea or Concept,3154
start,C25431,Begin,Temporal Concept,3183
nursing,C16926,Nursing,Biomedical Occupation or Discipline,3213
able,C78209,Ability,Functional Concept,3263
hold,C62290,Hold,Activity,3271
leadership,C121297,Leadership Scale,Intellectual Product,3276
roles,C48835,Role,Conceptual Entity,3287
promote,C61391,Promotion,Activity,3297
faculty,C53281,Faculty,Population Group,3323
members,C25368,Member,Human,3331
researchers,C15429,Research Activity,Research Activity,3340
specialists,C73456,Specialist Physician,Professional or Occupational Group,3380
Background,C45782,Background,Conceptual Entity,3394
Nurses research,C15285,Nursing Research,Research Activity,3406
Nurses research,C51864,Research Nurse,Professional or Occupational Group,3406
academic,C18240,Academia,Organization,3429
background,C45782,Background,Conceptual Entity,3438
health professionals health,C54067,Health Professional,Occupation or Discipline,3500
related,C53260,Definitely Related to Intervention,Qualitative Concept,3507
al,C111127,Aluminum Measurement,Laboratory Procedure,3586
Previous,C25627,Previous,Temporal Concept,3597
studies,C15206,Clinical Study,Research Activity,3606
have,C101282,Have,Classification,3614
provided,C80514,Provide,Activity,3619
strong,C14614,Strong,,3628
support,C37902,Support,Conceptual Entity,3635
contributes,C61412,Contribution,Activity,3736
health education,C16664,Health Education,Educational Activity,3755
business,C54131,Company,Organization,3774
social,C62650,Social,Qualitative Concept,3798
structure,C41186,Structure,Functional Concept,3805
American,C128457,American Ethnicity,Population Group,3828
Association,C25648,Relationship,Conceptual Entity,3837
Colleges,C61514,College,Organization,3852
factors,C84380,Mathematical Factor,Conceptual Entity,3888
related,C53260,Definitely Related to Intervention,Qualitative Concept,3896
personal,C19332,Personal Attribute,Organism Attribute,3907
professional,C97016,Health Care Professional Promotional Material,Intellectual Product,3920
nurses,C25596,Breast Feeding,Therapeutic or Preventive Procedure,3948
education,C16529,Education,Educational Activity,3976
Job,C25193,Occupation,Occupation or Discipline,3987
satisfaction,C62185,Satisfaction,Mental Process,3991
clinical,C25398,Clinical,Qualitative Concept,4008
competency,C99568,Competency,Conceptual Entity,4017
have,C101282,Have,Classification,4028
important,C115916,Important,Qualitative Concept,4050
sonal,C640,Methaqualone,"Organic Chemical, Pharmacologic Substance",4065
professional,C97016,Health Care Professional Promotional Material,Intellectual Product,4075
factors,C84380,Mathematical Factor,Conceptual Entity,4088
nurses,C25596,Breast Feeding,Therapeutic or Preventive Procedure,4138
RNs,C20824,Registered Nurse,Biomedical Occupation or Discipline,4146
return,C71900,Return,Activity,4154
school,C17118,School,Organization,4164
al,C111127,Aluminum Measurement,Laboratory Procedure,4182
Job,C25193,Occupation,Occupation or Discipline,4193
defined,C42777,Definition,Intellectual Product,4213
reported,C25375,Report,Intellectual Product,4224
experience,C54627,Experience,Organism Attribute,4233
satisfaction,C62185,Satisfaction,Mental Process,4247
one's,C66832,One,Quantitative Concept,4263
current,C25471,Current,Temporal Concept,4269
set,C47894,Set,Conceptual Entity,4304
attitudes,C72885,Outlook,Mental Process,4311
aspects,C61468,Aspect,Qualitative Concept,4337
pay work,C95551,Attend Paid Job,Daily or Recreational Activity,4362
al,C111127,Aluminum Measurement,Laboratory Procedure,4408
al,C111127,Aluminum Measurement,Laboratory Procedure,4429
reported,C25375,Report,Intellectual Product,4466
additional,C25406,Additional,Quantitative Concept,4498
nursing,C16926,Nursing,Biomedical Occupation or Discipline,4509
degree,C25554,Level,Quantitative Concept,4517
RNs,C20824,Registered Nurse,Biomedical Occupation or Discipline,4530
predicted,C54156,Prediction,Idea or Concept,4538
lower,C25309,Lower,Spatial Concept,4551
job,C25193,Occupation,Occupation or Discipline,4557
satisfaction,C62185,Satisfaction,Mental Process,4561
Clinical,C25398,Clinical,Qualitative Concept,4575
competency,C99568,Competency,Conceptual Entity,4584
defined,C42777,Definition,Intellectual Product,4598
ability,C78209,Ability,Functional Concept,4635
perform,C38000,Performed,Qualitative Concept,4646
interventions,C98388,Interventional Study,Research Activity,4663
al,C111127,Aluminum Measurement,Laboratory Procedure,4701
Members,C25368,Member,Human,4712
other,C17649,Other,Qualitative Concept,4723
pharmacists,C51840,Pharmacist,Professional or Occupational Group,4750
physical therapists,C53422,Physical Therapist,Occupation or Discipline,4766
have,C101282,Have,Classification,4787
known,C80137,Known,Conceptual Entity,4802
level,C25554,Level,Quantitative Concept,4830
programmes,C50123,Programmer Device Component,Manufactured Object,4836
enhancement,C71607,Enhance,Activity,4857
al,C111127,Aluminum Measurement,Laboratory Procedure,4881
study,C63536,Study,Research Activity,4912
German,C43855,German,Population Group,4921
RNs,C20824,Registered Nurse,Biomedical Occupation or Discipline,4940
nurses,C25596,Breast Feeding,Therapeutic or Preventive Procedure,4945
MSN,C71374,Master of Science in Nursing,Intellectual Product,4977
edge,C75923,Graph Edge,Conceptual Entity,5015
gain,C37956,Gain,Quantitative Concept,5035
clinical,C25398,Clinical,Qualitative Concept,5051
competency,C99568,Competency,Conceptual Entity,5060
date studies,C69208,Study Start Date,Intellectual Product,5076
no,C49487,No,Classification,5082
have,C101282,Have,Classification,5093
found,C25626,Present,Qualitative Concept,5103
needs,C41204,Need,Conceptual Entity,5125
Bangladeshi,C43671,Bangladeshi,Population Group,5134
nurses,C25596,Breast Feeding,Therapeutic or Preventive Procedure,5146
further,C25519,Further,Qualitative Concept,5157
education,C16529,Education,Educational Activity,5174
General,C115727,Safety Reporting Documentation,Intellectual Product,5185
information personal,C90492,Personal Information,Conceptual Entity,5193
details,C25480,Details,Idea or Concept,5216
aspects,C61468,Aspect,Qualitative Concept,5262
potential,C62230,Potential,Idea or Concept,5273
future,C67527,Future,Temporal Concept,5283
students,C75561,Student,Occupation or Discipline,5290
advanced,C25411,Advanced,Qualitative Concept,5308
nursing,C16926,Nursing,Biomedical Occupation or Discipline,5317
degrees,C25554,Level,Quantitative Concept,5325
long term,C25322,Long-Term,Temporal Concept,5371
educational Institute,C17118,School,Organization,5381
Institute Medicine,C16740,Institute of Medicine,Health Care Related Organization,5405
Aim,C60761,Aim,Conceptual Entity,5441
purposes,C25634,Purpose,Idea or Concept,5450
study,C63536,Study,Research Activity,5467
assess,C25367,Assessment,Intellectual Product,5485
intent,C25725,Intent,Qualitative Concept,5496
nurses,C25596,Breast Feeding,Therapeutic or Preventive Procedure,5506
BSN,C71350,Bachelor of Science in Nursing,Intellectual Product,5520
degree,C25554,Level,Quantitative Concept,5524
MSN,C71374,Master of Science in Nursing,Intellectual Product,5546
Bangladesh,C16323,Bangladesh,Geographic Area,5563
preferred,C42711,Preferred,Qualitative Concept,5588
options,C25374,Options,Intellectual Product,5608
associations,C25648,Relationship,Conceptual Entity,5638
clinical,C25398,Clinical,Qualitative Concept,5657
competency,C99568,Competency,Conceptual Entity,5666
job,C25193,Occupation,Occupation or Discipline,5678
intent,C25725,Intent,Qualitative Concept,5714
Methods,C71460,Method,Conceptual Entity,5762
Design,C43358,Design,Activity,5773
descriptive,C25365,Description,Intellectual Product,5792
correlational study,C16100,Correlative Study,Research Activity,5804
correlational cross,C68833,Cross-Correlation,Research Activity,5804
study cross sectional,C53310,Cross-Sectional Study,Research Activity,5818
design,C43358,Design,Activity,5847
Setting,C127262,CDISC SDTM Environmental Setting Terminology,Intellectual Product,5856
nurses,C25596,Breast Feeding,Therapeutic or Preventive Procedure,5878
healthcare facilities,C21541,Healthcare Facility,Health Care Related Organization,5897
satellite,C25663,Satellite,Spatial Concept,5952
clinics,C96111,Clinical Lot,Intellectual Product,5962
public health,C17039,Public Health,Biomedical Occupation or Discipline,5971
union,C80486,Union,Classification,5978
family,C25173,Family,Family Group,5995
planning,C25619,Plan,Activity,6002
hospitals,C25179,Hospitalization,Health Care Activity,6036
public health,C17039,Public Health,Biomedical Occupation or Discipline,6050
representative,C67045,Representation,Activity,6089
country,C25464,Country,Geographic Area,6116
public,C49060,Public,Qualitative Concept,6138
Population,C17005,Population Group,Population Group,6147
sampling,C25662,Sampling,Activity,6158
version,C25714,Version,Conceptual Entity,6196
Germany,C16636,Germany,Geographic Area,6229
estimated,C25498,Estimate,Activity,6242
required,C25652,Requirement,Functional Concept,6256
sample size,C53190,Sample Size,Quantitative Concept,6265
al,C111127,Aluminum Measurement,Laboratory Procedure,6306
moderate,C61376,Moderate,Qualitative Concept,6323
effect,C25492,Effect,Phenomenon or Process,6332
significance level,C41265,Significance Level,Quantitative Concept,6368
target,C25702,Target,Conceptual Entity,6399
population,C17005,Population Group,Population Group,6406
Bangladeshi,C43671,Bangladeshi,Population Group,6421
nurses,C25596,Breast Feeding,Therapeutic or Preventive Procedure,6433
BSN,C71350,Bachelor of Science in Nursing,Intellectual Product,6447
degree,C25554,Level,Quantitative Concept,6451
public,C49060,Public,Qualitative Concept,6478
sectors,C48955,Sector,Geographic Area,6485
country,C25464,Country,Geographic Area,6508
obtained,C52349,Obtain,Activity,6520
list,C43432,List,Intellectual Product,6531
prospective,C15273,Longitudinal Study,Research Activity,6539
survey,C17176,Survey,Research Device,6551
Directorate Nursing,C20859,Nurse Administrator,Biomedical Occupation or Discipline,6579
Services,C15785,Clinical Service,Health Care Activity,6602
Bangladesh,C16323,Bangladesh,Geographic Area,6620
distributed,C45273,Distribution,Activity,6635
question,C41116,Question,Intellectual Product,6651
received,C25639,Receive,Functional Concept,6672
260,C20105,French Southern and Antarctic Lands,Geographic Area,6694
questionnaires,C17048,Questionnaire,Intellectual Product,6698
return,C71900,Return,Activity,6714
rate,C25636,Rate,Conceptual Entity,6721
Measures,C37894,Measurable,Idea or Concept,6735
self administered,C25670,Self-Administered,Functional Concept,6762
questionnaire,C17048,Questionnaire,Intellectual Product,6780
panel,C43359,Group,Group,6809
15,C113429,Fifteen,Quantitative Concept,6818
nursing faculty,C20844,Nurse Educator,Biomedical Occupation or Discipline,6821
members,C25368,Member,Human,6837
Bangladesh,C16323,Bangladesh,Geographic Area,6848
content validity,C78690,Content Validity,Quantitative Concept,6874
All,C64916,All,Qualitative Concept,6892
questions,C86071,Equivocal,Conceptual Entity,6900
response,C25755,Response,Phenomenon or Process,6915
alternatives,C25415,Alternative,Qualitative Concept,6924
assessed,C25217,Assessment,Activity,6942
relevance,C70664,Relevance,Qualitative Concept,6979
content area,C70772,Knowledge Field,Conceptual Entity,6996
potential,C62230,Potential,Idea or Concept,7016
Each,C64933,Each,Qualitative Concept,7039
item content,C99095,Content Item,Intellectual Product,7044
content validity,C78690,Content Validity,Quantitative Concept,7056
index,C25390,Index,Intellectual Product,7073
greater than,C61584,Greater Than,Quantitative Concept,7079
Translation,C17213,Translation,Genetic Function,7111
English,C43853,English,Population Group,7128
performed,C38000,Performed,Qualitative Concept,7151
after,C49639,Status Post,Temporal Concept,7161
content validity,C78690,Content Validity,Quantitative Concept,7171
check,C86058,Check,Activity,7188
two,C66833,Two,Quantitative Concept,7199
English,C43853,English,Population Group,7233
master's degree,C39453,Master's Degree,Intellectual Product,7263
nursing public health,C17040,Public Health Nursing,Biomedical Occupation or Discipline,7289
reviewed,C45314,Reviewed,Conceptual Entity,7314
clarity,C96594,Clarity Measurement,Laboratory Procedure,7347
final,C25508,Final,Conceptual Entity,7375
questionnaire,C17048,Questionnaire,Intellectual Product,7381
following,C53286,Next,Temporal Concept,7408
instruments,C16742,Instrumentation,Manufactured Object,7418
Clinical,C25398,Clinical,Qualitative Concept,7432
competency,C99568,Competency,Conceptual Entity,7441
instrument,C16742,Instrumentation,Manufactured Object,7470
clinical,C25398,Clinical,Qualitative Concept,7485
competency,C99568,Competency,Conceptual Entity,7494
based,C48055,Base,Qualitative Concept,7505
Outcomes,C20200,Outcome,Finding,7542
Performance,C25361,Performance,Individual Behavior,7555
Assessment,C25367,Assessment,Intellectual Product,7567
model,C16866,Model,Intellectual Product,7578
extensive,C47863,Extensive,Quantitative Concept,7591
literature,C48471,Publication,Intellectual Product,7601
review,C42729,Review,Activity,7612
instrument,C16742,Instrumentation,Manufactured Object,7625
consists,C85901,Consistent,Conceptual Entity,7636
eight,C66839,Eight,Quantitative Concept,7648
categories,C25372,Category,Classification,7654
assessment,C25367,Assessment,Intellectual Product,7666
safety,C60828,Safety,Qualitative Concept,7702
standards,C44275,Standard,Conceptual Entity,7724
communication,C16452,Communication,Social Behavior,7736
group,C43359,Group,Group,7756
discussion,C71323,Discussion,Organism Function,7762
interaction,C54216,Interaction,Conceptual Entity,7777
critical,C25467,Critical,Qualitative Concept,7791
thinking,C54226,Thinking,Mental Process,7800
data sources,C16493,Data Source,Quantitative Concept,7842
data sources,C125442,Clinical Trial Source Data,Intellectual Product,7842
multiple,C17648,Multiple,Qualitative Concept,7852
human,C14225,Human,Human,7871
relationship,C71472,Relationship,Conceptual Entity,7888
scientific,C61397,Science,Conceptual Entity,7907
inquiry,C88188,Inquiry,Conceptual Entity,7918
research,C15319,Research,Research Activity,7930
process,C29862,Process,Functional Concept,7939
management,C61372,Management,Activity,7949
quality assurance,C15381,Quality Assurance,Activity,7966
improvement,C94226,Improvement,Conceptual Entity,7974
ship,C40353,Shipping,Activity,8010
vision,C38533,Sight,Organism Function,8033
alternatives,C25415,Alternative,Qualitative Concept,8053
supporting,C37902,Support,Conceptual Entity,8083
patient,C16960,Patient,Patient or Disabled Group,8094
family,C25173,Family,Family Group,8109
life,C37987,Life,Conceptual Entity,8126
wellness,C70592,Well,Spatial Concept,8135
integration,C48038,Integration,Activity,8159
evidence,C43583,Evidence,Idea or Concept,8177
based patient,C52644,Patient Base,Functional Concept,8186
patient care,C15239,Patient Care,Health Care Activity,8206
rate,C25636,Rate,Conceptual Entity,8247
current,C25471,Current,Temporal Concept,8258
cal,C67193,calorie,Quantitative Concept,8273
competency,C99568,Competency,Conceptual Entity,8277
each,C64933,Each,Qualitative Concept,8291
item,C51070,Entity,Entity,8296
point,C70656,Point,Spatial Concept,8310
scale,C25664,Scale,Intellectual Product,8316
strongly disagree,C104476,Strongly Disagree,Intellectual Product,8330
strongly strongly agree,C104475,Strongly Agree,Intellectual Product,8330
calculated,C54125,Calculation,Activity,8375
sum,C25697,Sum,Quantitative Concept,8390
higher,C25227,High,Qualitative Concept,8400
scores,C25338,Score,Quantitative Concept,8407
higher,C25227,High,Qualitative Concept,8427
level,C25554,Level,Quantitative Concept,8434
competency,C99568,Competency,Conceptual Entity,8443
obtained,C52349,Obtain,Activity,8458
range,C38013,Range,Quantitative Concept,8469
clinical,C25398,Clinical,Qualitative Concept,8514
competency,C99568,Competency,Conceptual Entity,8523
instrument,C16742,Instrumentation,Manufactured Object,8534
Job,C25193,Occupation,Occupation or Discipline,8547
satisfaction,C62185,Satisfaction,Mental Process,8551
measured,C44473,Measured,Qualitative Concept,8568
job,C25193,Occupation,Occupation or Discipline,8577
satisfaction,C62185,Satisfaction,Mental Process,8581
Ward,C71413,Ward,Human,8603
Organizational,C19223,Other Agency or Organization,Professional or Occupational Group,8608
Features,C70838,Image Feature,Qualitative Concept,8623
Scale,C25664,Scale,Intellectual Product,8632
al,C111127,Aluminum Measurement,Laboratory Procedure,8649
item,C51070,Entity,Entity,8667
scale,C25664,Scale,Intellectual Product,8672
do,C86066,Do,Activity,8700
now,C65002,Now,Temporal Concept,8703
apply,C113519,Apply,Activity,8717
job,C25193,Occupation,Occupation or Discipline,8732
level,C25554,Level,Quantitative Concept,8766
agreement,C25369,Agreement,Social Behavior,8775
each,C64933,Each,Qualitative Concept,8790
item,C51070,Entity,Entity,8795
point,C70656,Point,Spatial Concept,8810
Likert scale,C85429,Likert Scale,Intellectual Product,8816
strongly disagree,C104476,Strongly Disagree,Intellectual Product,8837
strongly strongly agree,C104475,Strongly Agree,Intellectual Product,8837
possible,C82490,Possible,Qualitative Concept,8883
score,C25338,Score,Quantitative Concept,8892
range,C38013,Range,Quantitative Concept,8898
higher,C25227,High,Qualitative Concept,8917
greater,C61421,Greater,Qualitative Concept,8942
job,C25193,Occupation,Occupation or Discipline,8950
satisfaction,C62185,Satisfaction,Mental Process,8954
obtained,C52349,Obtain,Activity,8971
study,C63536,Study,Research Activity,9012
need,C41204,Need,Conceptual Entity,9032
MSN,C71374,Master of Science in Nursing,Intellectual Product,9041
Based,C48055,Base,Qualitative Concept,9056
review,C42729,Review,Activity,9067
literature,C48471,Publication,Intellectual Product,9081
items,C51070,Entity,Entity,9108
assess,C25367,Assessment,Intellectual Product,9117
level,C25554,Level,Quantitative Concept,9128
need,C41204,Need,Conceptual Entity,9137
MSN,C71374,Master of Science in Nursing,Intellectual Product,9149
al,C111127,Aluminum Measurement,Laboratory Procedure,9174
al,C111127,Aluminum Measurement,Laboratory Procedure,9239
Wall,C64373,Wall,Qualitative Concept,9248
al,C111127,Aluminum Measurement,Laboratory Procedure,9256
Wells,C70592,Well,Spatial Concept,9274
planned,C25619,Plan,Activity,9328
apply,C113519,Apply,Activity,9339
MSN,C71374,Master of Science in Nursing,Intellectual Product,9351
master's degree,C39453,Master's Degree,Intellectual Product,9386
nursing,C16926,Nursing,Biomedical Occupation or Discipline,9405
expected,C25501,Expected,Conceptual Entity,9426
start time,C78441,Start Time,Temporal Concept,9435
yes,C49488,Yes,Idea or Concept,9472
question,C41116,Question,Intellectual Product,9484
select,C48912,Choose,Activity,9507
factors,C84380,Mathematical Factor,Conceptual Entity,9531
well,C70592,Well,Spatial Concept,9556
preferred,C42711,Preferred,Qualitative Concept,9617
nursing,C16926,Nursing,Biomedical Occupation or Discipline,9627
specialty,C17153,Medical Specialty,Biomedical Occupation or Discipline,9635
areas,C16632,Geographic Area,Geographic Area,9645
components,C48792,Element,Qualitative Concept,9652
preferred,C42711,Preferred,Qualitative Concept,9704
learning,C19369,Learning,Mental Process,9723
style,C71598,Style,Qualitative Concept,9732
identify content,C99023,Content Identifier,Intellectual Product,9742
rank,C48904,Rank,Qualitative Concept,9805
perceived,C16967,Perception,Mental Process,9814
21,C107434,Twenty One,Quantitative Concept,9838
courses,C25379,Course,Clinical Attribute,9841
common,C43461,Common,Qualitative Concept,9849
MSN,C71374,Master of Science in Nursing,Intellectual Product,9859
programmes,C50123,Programmer Device Component,Manufactured Object,9863
point,C70656,Point,Spatial Concept,9881
scale,C25664,Scale,Intellectual Product,9887
not,C25594,Negation,Functional Concept,9901
preference,C41187,Preference,Functional Concept,9957
full time,C52658,Full Time Employment,Qualitative Concept,9972
part time,C75562,Part Time Employment,Qualitative Concept,9980
time studying,C69209,Study Start Time,Intellectual Product,9985
housing,C49990,Housing Device Component,Manufactured Object,10026
options,C25374,Options,Intellectual Product,10034
during,C25490,During,Temporal Concept,10042
MSN,C71374,Master of Science in Nursing,Intellectual Product,10052
obtained,C52349,Obtain,Activity,10070
section,C48956,Section,Geographic Area,10112
General,C115727,Safety Reporting Documentation,Intellectual Product,10122
characteristics,C25447,Characteristic,Conceptual Entity,10130
information,C48191,Information,Conceptual Entity,10169
questions,C86071,Equivocal,Conceptual Entity,10194
geographic location,C16632,Geographic Area,Geographic Area,10210
age,C25150,Age,Organism Attribute,10231
sex,C38389,Sex,Organism Attribute,10236
