Mention,ConceptCode,ConceptName,SemanticType,Start
Whole,C25326,Whole,Qualitative Concept,2636
slide,C25325,Slide,Manufactured Object,2642
imaging,C49591,Imaging Domain,Idea or Concept,2648
entire,C25497,Entire,Qualitative Concept,2672
glass,C45301,Glass,Substance,2679
slide,C25325,Slide,Manufactured Object,2685
slide,C25325,Slide,Manufactured Object,2702
quantification,C48937,Quantitation,Activity,2708
all tissue,C90476,Total Tissue,Body Substance,2734
relevant,C70664,Relevance,Qualitative Concept,2738
slide,C25325,Slide,Manufactured Object,2761
potential,C62230,Potential,Idea or Concept,2784
solutions,C75906,Resolution,Conceptual Entity,2794
entire,C25497,Entire,Qualitative Concept,2847
histological,C25526,Histologic,Qualitative Concept,2854
sections,C48956,Section,Geographic Area,2867
reviewed,C45314,Reviewed,Conceptual Entity,2880
al,C111127,Aluminum Measurement,Laboratory Procedure,2904
number,C25337,Number,Quantitative Concept,2954
commercial source,C19287,Commercial Sources,Classification,2964
open,C49069,Open,Qualitative Concept,2979
solutions,C75906,Resolution,Conceptual Entity,2991
provide,C80514,Provide,Activity,3006
whole,C25326,Whole,Qualitative Concept,3016
slide,C25325,Slide,Manufactured Object,3022
staining,C50753,Staining,Finding,3028
index,C25390,Index,Intellectual Product,3037
percentage,C25613,Percentage,Conceptual Entity,3048
total,C25304,Total,Qualitative Concept,3093
counted cells,C48938,Cell Count,Laboratory Procedure,3099
tissue,C33177,Tissue,Tissue,3118
interest,C60730,Interest,Conceptual Entity,3128
Region interest,C85402,Imaging Region of Interest,Spatial Concept,3139
ROI,C85402,Imaging Region of Interest,Spatial Concept,3162
selected,C48912,Choose,Activity,3171
over,C65018,Over,Qualitative Concept,3213
entire,C25497,Entire,Qualitative Concept,3222
slide,C25325,Slide,Manufactured Object,3229
pattern recognition,C16961,Pattern Recognition,Mental Process,3241
algorithms,C16275,Algorithm,Intellectual Product,3261
most,C25258,Most,Qualitative Concept,3277
common,C43461,Common,Qualitative Concept,3282
analysis Image,C17606,Image Processing,Activity,3289
packages,C43233,Drug Package,Manufactured Object,3298
levels,C25554,Level,Quantitative Concept,3320
Technologies inForm,C16733,Information Sciences,Occupation or Discipline,3387
MA,C71364,Master of Arts,Intellectual Product,3432
Tissue,C33177,Tissue,Tissue,3437
CA,C16380,Canada,Geographic Area,3497
Denmark,C16496,Denmark,Geographic Area,3525
MA,C71364,Master of Arts,Intellectual Product,3562
NIH,C16895,National Institutes of Health,Health Care Related Organization,3578
ROIs,C85402,Imaging Region of Interest,Spatial Concept,3591
whole,C25326,Whole,Qualitative Concept,3605
slide,C25325,Slide,Manufactured Object,3611
quantification,C48937,Quantitation,Activity,3617
often,C91247,Often,Intellectual Product,3632
include,C74521,Include,Activity,3638
regions,C41129,Region,Spatial Concept,3646
heterogeneous,C28359,Heterogeneity,Qualitative Concept,3659
IHC,C23020,Immunohistochemistry Staining Method,Laboratory Procedure,3673
patterns,C25336,Pattern,Spatial Concept,3677
histological,C25526,Histologic,Qualitative Concept,3690
properties,C62498,Object Property,Conceptual Entity,3703
heterogeneities,C28359,Heterogeneity,Qualitative Concept,3721
may,C106184,May,Qualitative Concept,3737
contain,C79873,Contain,Activity,3741
useful,C107498,Useful,Qualitative Concept,3749
information,C48191,Information,Conceptual Entity,3756
al,C111127,Aluminum Measurement,Laboratory Procedure,3778
information,C48191,Information,Conceptual Entity,3794
lost,C25560,Lost,Qualitative Concept,3809
calculate,C54125,Calculation,Activity,3822
indices,C50001,Indicator Device Component,Manufactured Object,3841
over,C65018,Over,Qualitative Concept,3849
ROIs,C85402,Imaging Region of Interest,Spatial Concept,3859
indices,C50001,Indicator Device Component,Manufactured Object,3874
descriptors,C25364,Identifier,Intellectual Product,3898
only,C65011,Only,Qualitative Concept,3910
if,C64955,If,Qualitative Concept,3915
patterns,C25336,Pattern,Spatial Concept,3933
homogeneous,C61365,Homogeneity,Qualitative Concept,3946
random,C60702,Random,Qualitative Concept,3985
pattern,C25336,Pattern,Spatial Concept,3992
uniform,C73944,Uniform,Qualitative Concept,4013
pattern,C25336,Pattern,Spatial Concept,4021
ROIs,C85402,Imaging Region of Interest,Spatial Concept,4059
provides,C80514,Provide,Activity,4064
local,C67263,Local,Spatial Concept,4073
quantification,C48937,Quantitation,Activity,4079
better,C71685,Better,Qualitative Concept,4108
represents,C67045,Representation,Activity,4115
heterogeneities,C28359,Heterogeneity,Qualitative Concept,4141
instance,C48364,Instance,Conceptual Entity,4162
al,C111127,Aluminum Measurement,Laboratory Procedure,4181
patients based,C52644,Patient Base,Functional Concept,4203
heterogeneity,C28359,Heterogeneity,Qualitative Concept,4229
immune,C17997,Immune,Organism Attribute,4246
cells receptor,C13156,Receptor Cell,"Body Part, Organ, or Organ Component",4253
estrogen receptor negative,C15493,Estrogen Receptor Negative,Laboratory or Test Result,4262
estrogen receptor negative,C15493,Estrogen Receptor Negative,Laboratory or Test Result,4262
breast cancer,C4872,Breast Carcinoma,Neoplastic Process,4289
breast cancer,C4872,Breast Carcinoma,Neoplastic Process,4289
automated,C70669,Automatic,Qualitative Concept,4331
tools,C84337,Scientific Equipment,Manufactured Object,4341
manual,C62612,Manual,Intellectual Product,4348
efforts,C74530,Effort,Conceptual Entity,4355
large,C49508,Large,Qualitative Concept,4399
numbers,C25337,Number,Quantitative Concept,4405
ROIs,C85402,Imaging Region of Interest,Spatial Concept,4421
required,C25652,Requirement,Functional Concept,4426
statistical,C17167,Statistics,Occupation or Discipline,4448
patterns,C25336,Pattern,Spatial Concept,4530
biological,C28226,Biological,Conceptual Entity,4542
images,C49997,Imager Device Component,Manufactured Object,4553
IHC,C23020,Immunohistochemistry Staining Method,Laboratory Procedure,4561
images,C49997,Imager Device Component,Manufactured Object,4587
al,C111127,Aluminum Measurement,Laboratory Procedure,4625
class,C45280,Class,Conceptual Entity,4666
analysis,C25391,Analysis,Activity,4675
involves,C25547,Involved,Qualitative Concept,4684
certain,C107561,Certain,Qualitative Concept,4700
biological,C28226,Biological,Conceptual Entity,4741
patterns,C25336,Pattern,Spatial Concept,4752
homogeneity,C61365,Homogeneity,Qualitative Concept,4762
aggregation,C62344,Aggregation,Phenomenon or Process,4777
limited,C121422,Limited Lifting Ability,Intellectual Product,4804
number,C25337,Number,Quantitative Concept,4812
known,C80137,Known,Conceptual Entity,4822
patterns,C25336,Pattern,Spatial Concept,4836
estimate,C25498,Estimate,Activity,4848
model,C16866,Model,Intellectual Product,4857
parameters,C44175,Parameter,Conceptual Entity,4863
confidence intervals,C53324,Confidence Interval,Quantitative Concept,4884
most,C25258,Most,Qualitative Concept,4910
common,C43461,Common,Qualitative Concept,4915
model,C16866,Model,Intellectual Product,4930
uniform distribution,C53214,Uniform Distribution,Quantitative Concept,4939
random,C60702,Random,Qualitative Concept,4947
distribution Poisson,C53212,Poisson Distribution,Quantitative Concept,4954
process,C29862,Process,Functional Concept,4984
one,C66832,One,Quantitative Concept,4998
parameter,C44175,Parameter,Conceptual Entity,5002
corresponds,C115639,Centralized Testing Communication Document,Intellectual Product,5017
staining,C50753,Staining,Finding,5036
index,C25390,Index,Intellectual Product,5045
al,C111127,Aluminum Measurement,Laboratory Procedure,5065
have,C101282,Have,Classification,5076
analyzed,C25420,Analyzed,Qualitative Concept,5081
processes,C48177,Processing,Research Activity,5098
using techniques,C43813,Technique_Is_Used_In_Technique,Conceptual Entity,5108
bootstrapping,C78547,Bootstrapping,Quantitative Concept,5114
IHC,C23020,Immunohistochemistry Staining Method,Laboratory Procedure,5157
staining,C50753,Staining,Finding,5161
index,C25390,Index,Intellectual Product,5170
patterns,C25336,Pattern,Spatial Concept,5187
confidence intervals,C53324,Confidence Interval,Quantitative Concept,5206
method,C71460,Method,Conceptual Entity,5236
patterns,C25336,Pattern,Spatial Concept,5252
different,C46003,Difference,Qualitative Concept,5266
intensities,C25539,Intensity,Quantitative Concept,5276
non,C25594,Negation,Functional Concept,5292
overlapping,C54669,Overlap,Conceptual Entity,5296
confidence intervals,C53324,Confidence Interval,Quantitative Concept,5308
NCIs,C19202,National Cancer Institute,Health Care Related Organization,5330
statistically,C17167,Statistics,Occupation or Discipline,5340
non,C25594,Negation,Functional Concept,5391
homogeneous,C61365,Homogeneity,Qualitative Concept,5395
models observed,C126064,Observational Model,Research Activity,5415
fit,C70826,Fit,Activity,5425
patterns,C25336,Pattern,Spatial Concept,5438
statistical,C17167,Statistics,Occupation or Discipline,5451
comparison,C49156,Comparison,Activity,5463
not,C25594,Negation,Functional Concept,5477
Mechanisms,C25343,Mechanism,Functional Concept,5490
pattern formation,C19970,Pattern Formation,Organ or Tissue Function,5504
models,C16866,Model,Intellectual Product,5576
complicating,C25455,Complicating,Qualitative Concept,5592
factor,C25506,Factor,Functional Concept,5605
IHC,C23020,Immunohistochemistry Staining Method,Laboratory Procedure,5620
patterns,C25336,Pattern,Spatial Concept,5624
contain,C79873,Contain,Activity,5633
different,C46003,Difference,Qualitative Concept,5641
classes,C45280,Class,Conceptual Entity,5651
heterogeneity,C28359,Heterogeneity,Qualitative Concept,5670
same,C64637,Same,Qualitative Concept,5695
slide,C25325,Slide,Manufactured Object,5700
tissue,C33177,Tissue,Tissue,5707
section,C48956,Section,Geographic Area,5714
cohort,C61512,Cohort,Population Group,5736
analysis,C25391,Analysis,Activity,5744
patterns,C25336,Pattern,Spatial Concept,5767
makes,C25392,Manufacturer,Intellectual Product,5784
even,C64936,Evening,Temporal Concept,5793
more,C128667,More,Qualitative Concept,5798
difficult,C62189,Difficulty,Conceptual Entity,5803
fit,C70826,Fit,Activity,5816
single,C48440,Single,Qualitative Concept,5822
model,C16866,Model,Intellectual Product,5837
analysis,C25391,Analysis,Activity,5852
often,C91247,Often,Intellectual Product,5861
requires,C38015,Requirement,Conceptual Entity,5867
simple,C47880,Simple,Qualitative Concept,5890
contiguous,C28019,Contiguous,Qualitative Concept,5898
regions,C41129,Region,Spatial Concept,5909
applies,C113519,Apply,Activity,5921
complex,C47881,Complex,Qualitative Concept,5929
schemes,C25665,Scheme,Intellectual Product,5937
correct,C68815,Correct,Conceptual Entity,5948
edge,C75923,Graph Edge,Conceptual Entity,5960
effects,C25492,Effect,Phenomenon or Process,5965
requirements,C38015,Requirement,Conceptual Entity,5980
usually,C114711,Usually,Intellectual Product,5997
not,C25594,Negation,Functional Concept,6005
met,C87531,Fulfill,Activity,6009
IHC,C23020,Immunohistochemistry Staining Method,Laboratory Procedure,6016
patterns,C25336,Pattern,Spatial Concept,6020
see,C64647,See,Activity,6030
viable,C25324,Viable,Qualitative Concept,6034
tumor,C98275,Tumor Mass,Finding,6041
regions,C41129,Region,Spatial Concept,6047
separated,C51777,Separated,Organism Attribute,6055
necrotic,C25286,Necrotic,Qualitative Concept,6068
regions,C41129,Region,Spatial Concept,6077
Fig,C71971,Fig,"Plant, Food",6086
pattern formation,C19970,Pattern Formation,Organ or Tissue Function,6120
mechanisms,C25343,Mechanism,Functional Concept,6138
multi,C17648,Multiple,Qualitative Concept,6161
model,C16866,Model,Intellectual Product,6178
automated,C70669,Automatic,Qualitative Concept,6227
al,C111127,Aluminum Measurement,Laboratory Procedure,6258
provide,C80514,Provide,Activity,6268
number,C25337,Number,Quantitative Concept,6278
unbiased estimate,C53329,Unbiased Estimation,Research Activity,6288
techniques histological,C16680,Histological Procedure,Laboratory Procedure,6297
IHC,C23020,Immunohistochemistry Staining Method,Laboratory Procedure,6337
properties,C62498,Object Property,Conceptual Entity,6341
2D,C94949,PET Scanner 2D Mode,Functional Concept,6355
3D,C94950,PET Scanner 3D Mode,Functional Concept,6362
well,C70592,Well,Spatial Concept,6372
established,C71155,Established,Qualitative Concept,6377
techniques,C16847,Technique,Activity,6389
work,C74299,Work,Activity,6416
heterogeneous,C28359,Heterogeneity,Qualitative Concept,6426
patterns,C25336,Pattern,Spatial Concept,6440
provide,C80514,Provide,Activity,6453
information,C48191,Information,Conceptual Entity,6472
structure cells,C14135,Cell Structure,Cell Component,6494
function cells,C20480,Cellular Process,Cell Function,6508
tissues,C33177,Tissue,Tissue,6527
organs,C93874,Organization Name,Intellectual Product,6539
class,C45280,Class,Conceptual Entity,6549
techniques,C16847,Technique,Activity,6572
provides,C80514,Provide,Activity,6583
tools,C84337,Scientific Equipment,Manufactured Object,6592
estimate,C25498,Estimate,Activity,6601
count,C25463,Count,Quantitative Concept,6614
objects,C45974,Computer Programming Object,Conceptual Entity,6623
3D,C94950,PET Scanner 3D Mode,Functional Concept,6636
volume,C25335,Volume,Quantitative Concept,6639
number,C25337,Number,Quantitative Concept,6653
brain,C12439,Brain,"Body Part, Organ, or Organ Component",6663
cells,C48694,Cell,Spatial Concept,6669
brain,C12439,Brain,"Body Part, Organ, or Organ Component",6684
region,C41129,Region,Spatial Concept,6690
estimates,C53327,Statistical Estimation,Research Activity,6705
based,C48055,Base,Qualitative Concept,6719
sum,C25697,Sum,Quantitative Concept,6730
objects,C45974,Computer Programming Object,Conceptual Entity,6737
frames,C80261,Frame,Classification,6769
distributed,C45273,Distribution,Activity,6795
sampling,C25662,Sampling,Activity,6822
grid,C70846,Grid,Manufactured Object,6831
over,C65018,Over,Qualitative Concept,6836
tissue,C33177,Tissue,Tissue,6845
heterogeneity,C28359,Heterogeneity,Qualitative Concept,6865
individual,C17719,Individual,Human,6897
counts,C48485,Count Dosing Unit,Quantitative Concept,6908
frames,C80261,Frame,Classification,6928
lost,C25560,Lost,Qualitative Concept,6938
single,C48440,Single,Qualitative Concept,6969
number,C25337,Number,Quantitative Concept,6976
each,C64933,Each,Qualitative Concept,6987
tissue sample.',C19697,Tissue Sample,Tissue,6992
summary,C42581,Summary,Intellectual Product,7013
methods,C71460,Method,Conceptual Entity,7051
reliability,C73622,Reliability,Quantitative Concept,7077
robustness,C94972,Robust,Qualitative Concept,7104
loss,C25559,Loss,Quantitative Concept,7122
information,C48191,Information,Conceptual Entity,7130
development,C18732,Development,Organism Function,7162
model,C16866,Model,Intellectual Product,7189
free,C63628,Empty,Qualitative Concept,7195
technique,C16847,Technique,Activity,7200
compares,C49882,Comparator Device Component,Manufactured Object,7230
properties,C62498,Object Property,Conceptual Entity,7250
tissue,C33177,Tissue,Tissue,7264
accounts,C88186,Financial Account,Classification,7278
present,C25626,Present,Qualitative Concept,7325
robust,C94972,Robust,Qualitative Concept,7335
method,C71460,Method,Conceptual Entity,7342
quantify,C48937,Quantitation,Activity,7352
tissue,C33177,Tissue,Tissue,7384
properties,C62498,Object Property,Conceptual Entity,7391
measured,C44473,Measured,Qualitative Concept,7405
IHC,C23020,Immunohistochemistry Staining Method,Laboratory Procedure,7417
staining,C50753,Staining,Finding,7421
indices,C50001,Indicator Device Component,Manufactured Object,7430
whole,C25326,Whole,Qualitative Concept,7468
slide,C25325,Slide,Manufactured Object,7474
images,C49997,Imager Device Component,Manufactured Object,7480
into,C25544,Into,Spatial Concept,7494
set,C47894,Set,Conceptual Entity,7501
small,C25376,Small,Qualitative Concept,7508
square,C48350,Square Shape,Qualitative Concept,7514
computed,C61298,Computation,Activity,7531
distributions,C45273,Distribution,Activity,7544
staining,C50753,Staining,Finding,7561
indices,C50001,Indicator Device Component,Manufactured Object,7570
represent,C67045,Representation,Activity,7581
tissue,C33177,Tissue,Tissue,7591
heterogeneities,C28359,Heterogeneity,Qualitative Concept,7598
samples,C70699,Biospecimen,Body Substance,7623
distributions,C45273,Distribution,Activity,7642
inputs,C47905,Input,Conceptual Entity,7659
non,C25594,Negation,Functional Concept,7669
statistical,C17167,Statistics,Occupation or Discipline,7684
comparisons,C49156,Comparison,Activity,7696
applied,C113519,Apply,Activity,7712
quantification,C48937,Quantitation,Activity,7724
methods statistically,C19044,Statistical Technique,Quantitative Concept,7739
detect,C117041,Dosing Days to Detection,Quantitative Concept,7750
statistically significant,C28110,Statistically Significant,Quantitative Concept,7757
alterations,C28344,Alteration,Conceptual Entity,7794
Standard Care,C94396,Best Practice,Health Care Activity,7821
SOC,C71888,MedDRA System Organ Class,Idea or Concept,7839
chemotherapy,C15632,Chemotherapy,Therapeutic or Preventive Procedure,7844
double blinded study,C15228,Double Blind Study,Research Activity,7862
preclinical study,C48678,Nonclinical Study,Research Activity,7877
patient derived xenograft model,C122936,Patient Derived Xenograft,Experimental Model of Disease,7900
orthotopic,C94384,Orthotopic,Qualitative Concept,7916
pediatric,C14154,Pediatric,Temporal Concept,7946
neuroblastoma,C3270,Neuroblastoma,Neoplastic Process,7956
Stewart,C44194,Stewart,Population Group,7971
al,C111127,Aluminum Measurement,Laboratory Procedure,7982
statistical tests,C53228,Statistical Test,Quantitative Concept,8006
based,C48055,Base,Qualitative Concept,8024
grid,C70846,Grid,Manufactured Object,8037
quantification,C48937,Quantitation,Activity,8042
method,C71460,Method,Conceptual Entity,8057
able,C78209,Ability,Functional Concept,8068
detect,C117041,Dosing Days to Detection,Quantitative Concept,8076
alterations,C28344,Alteration,Conceptual Entity,8083
other,C17649,Other,Qualitative Concept,8100
based,C48055,Base,Qualitative Concept,8112
whole,C25326,Whole,Qualitative Concept,8121
slide,C25325,Slide,Manufactured Object,8127
indices,C50001,Indicator Device Component,Manufactured Object,8133
Study',C93130,Animal Study,Research Activity,8193
Study' double blind,C15228,Double Blind Study,Research Activity,8193
tissue samples,C19697,Tissue Sample,Tissue,8225
26,C126886,Twenty Six,Quantitative Concept,8245
CD1,C114988,CD1 Glycoprotein,Classification,8248
nude,C14239,Nude Mouse,Mammal,8252
mice,C14238,Mouse,Mammal,8257
randomized,C28295,Randomized,Functional Concept,8285
Stewart,C44194,Stewart,Population Group,8316
al,C111127,Aluminum Measurement,Laboratory Procedure,8327
two,C66833,Two,Quantitative Concept,8342
treatment arms,C15538,Protocol Treatment Arm,Research Activity,8346
placebo,C753,Placebo,Conceptual Entity,8362
standard care,C94396,Best Practice,Health Care Activity,8374
SOC,C71888,MedDRA System Organ Class,Idea or Concept,8392
All,C64916,All,Qualitative Concept,8398
animal,C14182,Animal,Animal,8406
procedures performed,C93431,Performed Procedure,Research Activity,8413
IACUC,C19487,Institutional Animal Care and Use Committee,Professional or Occupational Group,8456
approved protocol,C70745,Approved Protocol,Functional Concept,8462
ultrasound,C64384,Ultrasound,Natural Phenomenon or Process,8489
injection,C122632,Injection Dosing Unit,Quantitative Concept,8507
implant,C41075,Implant,Medical Device,8520
patient,C16960,Patient,Patient or Disabled Group,8536
derived,C81197,Derived Flag,Conceptual Entity,8544
neuroblastoma,C3270,Neuroblastoma,Neoplastic Process,8552
cells,C48694,Cell,Spatial Concept,8566
suspended,C126839,Study Site Temporarily Closed to Accrual and Intervention,Qualitative Concept,8573
para,C16955,Parity,Organism Attribute,8618
adrenal,C473,Therapeutic Epinephrine,"Organic Chemical, Pharmacologic Substance",8623
space,C63629,Space,Spatial Concept,8631
al,C111127,Aluminum Measurement,Laboratory Procedure,8647
Mice,C14238,Mouse,Mammal,8658
study,C63536,Study,Research Activity,8684
tumors,C98275,Tumor Mass,Finding,8695
first,C25509,First,Qualitative Concept,8707
detected,C25481,Detected,Conceptual Entity,8713
regular,C25647,Regular,Qualitative Concept,8725
ultrasound imaging,C17230,Ultrasonography,Health Care Activity,8733
every three weeks,C64535,Every Three Weeks,Temporal Concept,8752
Mice,C14238,Mouse,Mammal,8771
study,C63536,Study,Research Activity,8792
if,C64955,If,Qualitative Concept,8798
tumor burden,C28384,Tumor Burden,Idea or Concept,8805
body weight,C81328,Body Weight,Conceptual Entity,8837
if,C64955,If,Qualitative Concept,8852
weight loss,C3445,Weight Loss,Finding,8882
lethargy,C78416,Lethargy,Finding,8895
persistent,C43623,Persistent,Qualitative Concept,8909
dehydration,C26740,Dehydration,Finding,8920
died,C28554,Death,Finding,8936
Tumors,C98275,Tumor Mass,Finding,8942
ultrasound,C64384,Ultrasound,Natural Phenomenon or Process,8990
every three weeks,C64535,Every Three Weeks,Temporal Concept,9001
enrollment,C37948,Enrollment,Health Care Activity,9028
date,C25164,Date,Temporal Concept,9039
SOC,C71888,MedDRA System Organ Class,Idea or Concept,9045
regimen,C15697,Treatment Regimen,Functional Concept,9049
two,C66833,Two,Quantitative Concept,9066
week,C29844,Week,Temporal Concept,9072
courses,C25379,Course,Clinical Attribute,9077
first,C25509,First,Qualitative Concept,9090
after,C49639,Status Post,Temporal Concept,9107
enrollment,C37948,Enrollment,Health Care Activity,9113
Mice,C14238,Mouse,Mammal,9126
only,C65011,Only,Qualitative Concept,9131
received,C25639,Receive,Functional Concept,9136
drugs,C459,Medication,Pharmacologic Substance,9145
during,C25490,During,Temporal Concept,9151
first,C25509,First,Qualitative Concept,9162
week,C29844,Week,Temporal Concept,9168
each,C64933,Each,Qualitative Concept,9176
